dept_id,oc_code,org,bldg,building,acronym,flr_id,location_code,loc_type,usage_percent,usage_code,user_sqft,net_user_sqft,poly_sqft,net_poly_sqft,loc_status
GSE,OCCD,OREGON CENTER FOR CAREER DEVELOPMENT,B0002,NH - NEUBERGER HALL,"NH  ",B1,013,DEPTSTOR,100,ORGRES,,0,226,226,OCCUPIED
GSE,CEED-ECTC,,B0009,KMC - KARL MILLER CENTER (Formerly BA),"KMC ",3,330,STFOFF,100,DEPTADM,785,785,780,780,OCCUPIED
GSE,CI,CURRICULUM & INSTRUCTION,B0009,KMC - KARL MILLER CENTER (Formerly BA),"KMC ",5,570,FACOFF,50,INSTRSUP,117,58.5,1097,548.5,OCCUPIED
GSE,CI,CURRICULUM & INSTRUCTION,B0009,KMC - KARL MILLER CENTER (Formerly BA),"KMC ",5,570,FACOFF,50,DEPTADM,117,58.5,1097,548.5,OCCUPIED
GSE,GSE,GRADUATE SCHOOL OF EDUCATION,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,3,333,DEPTSTOR,100,PPLTSERV,,0,63,63,OCCUPIED
GSE,GSE,GRADUATE SCHOOL OF EDUCATION,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,3,333,DEPTSTOR,100,PPLTSERV,,0,63,63,OCCUPIED
GSE,GSE,GRADUATE SCHOOL OF EDUCATION,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,3,333,DEPTSTOR,100,INSTRSUP,,0,63,63,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,101,STFOFF,100,CHILDDEV,252,252,252,252,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,101B,DEPTSTOR,100,CHILDDEV,65,65,65,65,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,102,STFOFF,100,CHILDDEV,173,173,173,173,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,103,DAYCARE,100,CHILDDEV,677,677,677,677,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,103B,DEPTSTOR,100,CHILDDEV,70,70,70,70,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,104,DAYCARE,100,CHILDDEV,479,479,479,479,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,104B,RESTRM,100,CHILDDEV,118,118,118,118,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,105,DAYCARE,100,CHILDDEV,512,512,512,512,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,105,DAYCARE,100,CHILDDEV,512,512,512,512,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,106,BREAKRM,100,CHILDDEV,423,423,423,423,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,106A,FOODSERV,100,CHILDDEV,60,60,60,60,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,107,DEPTSTOR,100,CHILDDEV,,0,28,28,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,108,DEPTSTOR,100,CHILDDEV,34,34,34,34,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,109,DAYCARE,100,CHILDDEV,485,485,485,485,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,110,DAYCARE,100,CHILDDEV,276,276,162,162,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,110A,DEPTSTOR,100,CHILDDEV,,0,113,113,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,111,DAYCARE,100,CHILDDEV,795,795,795,795,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,111A,DEPTSTOR,100,CHILDDEV,74,74,74,74,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,111B,FOUNDRY,100,CHILDDEV,108,108,107,107,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,120,DAYCARE,100,CHILDDEV,904,904,904,904,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,130,DAYCARE,100,CHILDDEV,575,575,575,575,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,131,RESTRM,100,UNASSIGN,52,52,52,52,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,132,RESTRM,100,UNASSIGN,51,51,51,51,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,133,DEPTSTOR,100,CHILDDEV,63,63,63,63,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,135,DEPTSTOR,100,CHILDDEV,84,84,84,84,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,136,RESTRM,100,UNASSIGN,143,143,143,143,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,138,DAYCARE,100,CHILDDEV,123,123,123,123,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,140,DAYCARE,100,CHILDDEV,575,575,575,575,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,142,OFFSERV,100,CHILDDEV,206,206,206,206,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,143,DEPTSTOR,100,CHILDDEV,39,39,39,39,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,144,CONFERRM,100,CHILDDEV,86,86,86,86,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,145,BREAKRM,100,UNASSIGN,162,162,84,84,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,145,BREAKRM,100,CHILDDEV,162,162,84,84,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,146,RESTRM,100,UNASSIGN,143,143,143,143,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,148,DAYCARE,100,CHILDDEV,123,123,123,123,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,150,DAYCARE,100,CHILDDEV,359,359,359,359,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,150A,DAYCARE,100,CHILDDEV,,0,76,76,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,150B,DAYCARE,100,CHILDDEV,,0,127,127,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,160,MULTIROM,100,CHILDDEV,376,376,376,376,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,C103,HALL,100,UNASSIGN,75,75,75,75,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,C104,HALL,100,UNASSIGN,85,85,85,85,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,C106,HALL,100,UNASSIGN,763,763,763,763,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,E158,ELEVATOR,100,UNASSIGN,,0,59,59,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,E158,ELEVATOR,100,UNASSIGN,,0,59,59,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,L101,LOBBY,100,UNASSIGN,470,470,470,470,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,L102,HALL,100,UNASSIGN,230,230,230,230,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,L107,LOBBY,100,UNASSIGN,76,76,76,76,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,S101,STAIRS,100,UNASSIGN,140,140,110,110,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,S102,STAIRS,100,UNASSIGN,120,120,120,120,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,S105,STAIRS,100,UNASSIGN,146,146,146,146,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,S106,STAIRS,100,UNASSIGN,152,152,152,152,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,V100,VESTIBUL,100,UNASSIGN,44,44,44,44,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,V101,VESTIBUL,100,UNASSIGN,98,98,98,98,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,V101,VESTIBUL,100,UNASSIGN,98,98,98,98,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,V102,VESTIBUL,100,UNASSIGN,47,47,47,47,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,V102,VESTIBUL,100,UNASSIGN,47,47,47,47,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,V103,HALL,100,UNASSIGN,321,321,210,210,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,1,V104,VESTIBUL,100,UNASSIGN,12,12,12,12,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,201B,RESTRM,100,CHILDDEV,70,70,70,70,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,201C,DAYCARE,100,CHILDDEV,259,259,246,246,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,201D,DAYCARE,100,CHILDDEV,177,177,181,181,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,202,DAYCARE,100,CHILDDEV,706,706,706,706,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,202A,DEPTSTOR,100,CHILDDEV,56,56,56,56,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,203,DAYCARE,100,CHILDDEV,640,640,643,643,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,203B,RESTRM,100,CHILDDEV,118,118,118,118,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,204,DAYCARE,100,CHILDDEV,392,392,451,451,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,204A,DEPTSTOR,100,CHILDDEV,47,47,47,47,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,204B,RESTRM,100,CHILDDEV,113,113,113,113,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,204C,RESTRM,100,CHILDDEV,34,34,34,34,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,205,DAYCARE,100,CHILDDEV,325,325,325,325,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,206,DAYCARE,100,CHILDDEV,383,383,385,385,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,209,MULTIROM,100,CHILDDEV,211,211,211,211,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,218,DAYCARE,100,CHILDDEV,369,369,369,369,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,220,DAYCARE,100,CHILDDEV,312,312,312,312,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,230,DAYCARE,100,CHILDDEV,,0,782,782,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,230A,DAYCARSV,100,CHILDDEV,,0,84,84,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,231,RESTRM,100,CHILDDEV,,0,52,52,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,232,RESTRM,100,CHILDDEV,,0,51,51,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,233,DEPTSTOR,100,CHILDDEV,,0,63,63,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,235,RESTRM,100,CHILDDEV,,0,64,64,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,240,DAYCARE,100,CHILDDEV,,0,389,389,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,240A,DAYCARSV,100,CHILDDEV,,0,177,177,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,242,STFOFF,100,CHILDDEV,206,206,206,206,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,243,DEPTSTOR,100,CHILDDEV,,0,39,39,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,244,STFOFF,100,CHILDDEV,,0,86,86,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,250,DAYCARE,100,CHILDDEV,,0,781,781,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,250A,DAYCARSV,100,CHILDDEV,,0,84,84,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,255,RESTRM,100,CHILDDEV,,0,64,64,OCCUPIED
GSE,HGCDC,HELEN GORDON CHILD DEVELOPMENT CENTER,B0013,HGCDC - HELEN GORDON CHILD DEVELOPMENT CENTER,HGCD,2,260,MULTIROM,100,CHILDDEV,,0,376,376,OCCUPIED
