Room,Room,Description,Maximum Capacity,
ASRC,001,GP  FTC  MB  TECH  AUD     RO,229,
ASRC,215,GP  TC  MB  W  TECH     RO,64,
ASRC,220,GP  TC  MB  W  TECH     RO,64,
ASRC,230,GP  TC  MB  W  TECH     RO,128,
ASRC,240,GP  TECH  TC  MB  RO,48,
BA,190,GP FTAC MB TECH RO/BA,136,
BHB,218,GP TC MB TECH    RO,24,
BHB,219,GP TC  MB TECH   RO,28,
BHB,220,GP TC MB  TECH     RO,26,
BHB,222,GP TC MB TECH    RO,56,
BHB,224,GP TC MB TECH    RO,28,
CH,150,GP FTAC LEC CB TECH  RO/HST,100,
CH,158,GP FTAC LEC CB TECH    RO,48,
CH,171,GP  FTAC  MB  TECH  LEC  AUD     RO,100,
CH,183,GP  FTAC  CB  TECH  LEC     RO,46,
CH,221,GP  TAC  CB  W  TECH     RO,35,
CH,250,GP FTAC LEC MB TECH   RO,75,
CH,254,GP TAC 4CB TECH    RO,20,
CH,258,GP  FTAC  MB  TECH  LEC     RO,48,
CH,269,GP  TC  MB  TECH     RO,60,
CH,271,GP  FTAC  CB  TECH  LEC     RO,100,
CH,283,GP  FTAC  MB  TECH  LEC     RO,48,
CH,321,GP  TC  MB  W  TECH     RO,32,
CH,324,GP  TC  MB  W  TECH     RO,32,
CH,325,GP  TC  W  TECH     RO,48,
CH,328,GP  TC  W  TECH MB    RO,35,
CH,359,GP  TC  MB  TECH     RO,20,
CH,371,GP  FTAC  MB  TECH  LEC     RO/GEOG,100,
CH,382,GP  TC  MB  TECH     RO,60,
CH,383,GP FTAC LEC CB TECH   RO,48,
CH,400A,GP  TC  MB  W  TECH      RO,20,
CH,401,GP  TC  MB  W  TECH     RO,78,
CH,449,GP  TAC  MB  W  TECH     RO,48,
CH,483,GP  TC  MB  TECH     RO/PSY,20,
CH,53,GP  FTAC  CB  TECH  LEC     RO/G,162,
CH,71,GP FTAC LEC CB     TECH   RO DISTANCE LEARNING,207,
CIN,90,GP  FTAC  MB  TECH     RO,100,
CIN,92,GP  FTAC  MB  TECH     RO,100,
CLSB,1A001,GP  MB  W TECH  DISTANCE LEARNING     RO,406,
EB,102,GP  FTAC  MB  TECH  DISTANCE LEARNING     RO/MCECS,112,
EB,103,GP  TC  TECH  MB     RO/MCECS DISTANCE LEARNING,60,
FAB,10,GP  TC  MB  W  TECH     RO,50,
FAB,170,MB TECH TC GP     RO,36,
FAB,171,GP MB TECH TC     RO,36,
FAB,40-06,TAC MB W TECH   RO,40,
FAB,40-07,TAC MB W TECH   RO,40,
FAB,40-08,GP  TAC  MB  W  TECH     RO,30,
FAB,40-09,GP  TAC  MB  TECH     RO,20,
HOFF,109,GP  TC  MB  W  TECH  DISTANCE LEARNING     RO,280,
KHSE,112,GP TC MB TECH      RO,27,
LH,247,GP TECH TC MB     RO,45,
LH,249,GP  MB TC TECH    RO,34,
LH,301,GP MB TC TECH   RO,40,
LH,339,GP TAC MB  TECH   RO,70,
NH,11,GP TC MB               TECH    RO,63,
NH,204,GP  TC  MB  TECH     RO,20,
NH,209,GP  TC  MB  W  TECH     RO,48,
NH,222,GP  TC  MB  TECH     RO,68,
NH,224,GP  TC  MB  TECH     RO,16,
NH,227,GP  TC  MB  W  TECH     RO,48,
NH,237,TECH TC W     RO,64,
NH,238,GP  TC  MB  TECH     RO,26,
NH,241,GP  TC  CB  W  TECH     RO,35,
NH,26,GP TAC TECH      RO,15,
NH,307,GP FTC W CB TECH          RO/MTH,48,
NH,341,GP  TC  MB  W  TECH     RO,56,
NH,350,GP  TC  MB  TECH     RO,68,
NH,358,GP  TAC  CB  TECH     RO,25,
NH,362,GP  TAC  MB  TECH     RO,25,
NH,364,GP TC/TAC CB  TECH    RO/MTH,56,
NH,366,GP  TAC  MB  TECH     RO,25,
NH,375,GP  TC  CB  W  TECH     RO/MTH,48,
NH,381,GP  TC  MB  W  TECH     RO,48,
NH,382,GP  TAC  CB  TECH     RO,15,
NH,385,GP  TC  MB  W  TECH     RO/MTH,30,
NH,386,GP TAC CB TECH   RO,25,
NH,387,GP  TC  CB  W  TECH     RO/FL,30,
NH,388,TC MB TECH   RO,42,
NH,389,GP TC W CB TECH   RO,12,
NH,391,GP TAC W CB  TECH                        RO,30,
NH,42,GP CB TC TECH                 RO,34,
NH,45,GP TAC MB    RO,8,
NH,458,GP  TC  CB  TECH     RO,28,
NH,462,GP FTAC LEC WCNA TECH RO/ART,100,
NH,47,GP TAC TECH     RO,29,
NH,472,GP  TC  CB  TECH     RO,24,
NH,59,GP  FTAC  MB  TECH     RO,55,
NH,8,GP  FTAC  MB  TECH     RO,35,
OND,201,GP TC 2MB TECH     RO,25,
OND,202,GP  TC  MB  W  TECH     RO,30,
OND,203,GP  TC  MB  W  TECH     RO,30,
OND,204,GP  TC  MB  W  TECH     RO,20,
OND,218,GP TC MB TECH     RO,75,
OND,220,GP TC MB TECH     RO,40,
PNT,102,GP RO FTAC MB TECH,164,
PNT,207,GP  TC  MB  W  TECH     RO,38,
PNT,208,GP  TC  MB  W  TECH     RO,28,
PNT,232,GP  TC  MB  W  TECH     RO,30,
PSC,218,GP TAC W 2CB TECH  RO,30,
SB1,107,GP FTC LEC CB  TECH  RO/PH,136,
SEC,152,GP  TC  MB  TECH     RO,24,
SEC,156,GP  TAC  MB  TECH     RO,28,
SEC,159,GP  TAC  MB  TECH     RO,20,
SEC,163,GP  TAC  MB  TECH     RO,25,
SEH,106,GP  TC  MB  TECH     RO/HON,24,
SEH,107,GP  TC  MB  W  TECH     RO/HON,24,
SEH,108,GP  TC  MB  W  TECH     RO/HON,36,
SH,201,GP  TECH  TC  MB     RO,30,
SH,212,GP  TAC  MB  W  TECH     RO,190,
SH,ANNEX,CLASSROOM   ARCH RO,150,
SRTC,101,GP  TC  CB  TECH     RO/PH,48,
SRTC,104,GP TC MB TECH      RO,25,
SRTC,108,GP  TAC  CB  W  TECH     RO,25,
SRTC,139B,GP  TAC  MB  W  TECH     RO/CH,20,
SRTC,139D,GP  TAC  MB  W  TECH     RO/CH,20,
