Subj,Course,Status,Subj_Desc,Sec,CRN,Title,Campus,Schedule_Type,Schedule_Type_Desc,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor ID,Crosslist_ID,Approv,Detail_Code,Fee,Min Credits,Max_Credits,Prior_Enrl,SCH,Auth_Size,Actual_Enrl,Seats_Avail,%_Capacity,Waitlist_Max,Waitlist_Actual,Waitlist_Avail,POT,Start_Date_1,End_Date_1,Meeting_Time_1,Meeting_Location_1,Instruct_Method_1,Instruct_Method_Desc_1,Start_Date_2,End_Date_2,Meeting_Time_2,Meeting_Location_2,Instruct_Method_2,Instruct_Method_Desc_2,Start_Date_3,End_Date_3,Meeting_Time_3,Meeting_Location_3,Instruct_Method_3,Instruct_Method_Desc_3,Start_Date_4,End_Date_4,Meeting_Time_4,Meeting_Location_4,Instruct_Method_4,Instruct_Method_Desc_4,Start_Date_5,End_Date_5,Meeting_Time_5,Meeting_Location_5,Instruct_Method_5,Instruct_Method_Desc_5,Start_Date_6,End_Date_6,Meeting_Time_6,Meeting_Location_6,Instruct_Method_6,Instruct_Method_Desc_6,Start_Date_7,End_Date_7,Meeting_Time_7,Meeting_Location_7,Instruct_Method_7,Instruct_Method_Desc_7,Start_Date_8,End_Date_8,Meeting_Time_8,Meeting_Location_8,Instruct_Method_8,Instruct_Method_Desc_8,Start_Date_9,End_Date_9,Meeting_Time_9,Meeting_Location_9,Instruct_Method_9,Instruct_Method_Desc_9,Start_Date_10,End_Date_10,Meeting_Time_10,Meeting_Location_10,Instruct_Method_10,Instruct_Method_Desc_10
ACTG,281,A,Accounting,OL1,15171,ACCOUNTING MECHANICS: DR & CR,I,L,Lecture,Johnson,Marilyn,930422050,,DP,,,1,1,0,20,36,20,16,0.56,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,281,A,Accounting,OL2,15172,ACCOUNTING MECHANICS: DR & CR,I,L,Lecture,Johnson,Marilyn,930422050,,DP,,,1,1,0,28,33,29,4,0.88,25,0,25,1,2016-10-01 00:00:00,2016-10-14 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,335,A,Accounting,001,10004,ACTG INFORMATION SYSTEMS,I,L,Lecture,Yuthas,Kristi,968429507,,DP,,,4,4,50,172,45,44,1,0.98,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,MW 1400-1550,NH 388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,335,A,Accounting,002,10005,ACTG INFORMATION SYSTEMS,I,L,Lecture,Yuthas,Kristi,968429507,,DP,,,4,4,35,160,45,41,4,0.91,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,W 1740-2120,NH 388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,335,A,Accounting,003,15173,ACTG INFORMATION SYSTEMS,I,L,Lecture,Yuthas,Kristi,968429507,,DP,,,4,4,0,84,45,21,24,0.47,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,MW 0815-1005,CH 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,360,A,Accounting,001,10007,MANAGEMENT ACTG,I,L,Lecture,Schuster,Michael,922496823,,DP,,,4,4,41,180,45,45,0,1,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,TR 1000-1150,SRTC 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,360,A,Accounting,002,10008,MANAGEMENT ACTG,I,L,Lecture,Schuster,Michael,922496823,,DP,,,4,4,39,164,45,41,4,0.91,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,M 1740-2120,UTS 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,360,A,Accounting,003,10006,MANAGEMENT ACTG,I,L,Lecture,Schuster,Michael,922496823,,DP,,,4,4,44,152,45,39,6,0.87,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,TR 1400-1550,NH 341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,381,A,Accounting,001,10011,FIN ACTG & REPRTG I,I,L,Lecture,Wu,Jizhong,907464329,BO,DP,,,4,4,47,76,45,19,26,0.42,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,MWF 1015-1120,NH 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTG,381,A,Accounting,002,10013,FIN ACTG & REPRTG I,I,L,Lecture,Wu,Jizhong,907464329,BP,DP,,,4,4,40,68,45,17,28,0.38,25,0,25,1,2016-09-26 00:00:00,2016-12-10 00:00:00,MWF 1130-1235,CH 258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
