,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
0,CH,ASC 199,15,680507.418369,7642314.424760001,T,na,na,2016-09-27 16:00:00,2016-09-27 16:50:00,na,na,na,na,na,na,na,na,na,na
1,NH,SCI 503,8,680027.8416159999,7642114.5862,T,na,na,2016-09-27 18:30:00,2016-09-27 20:20:00,na,na,na,na,na,na,na,na,na,na
2,AB,ART 227,8,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
3,AB,ART 581,2,679061.044896,7642575.33562,M,2016-09-26 13:00:00,2016-09-26 14:50:00,na,na,na,na,na,na,na,na,na,na,na,na
4,AB,ART 582,5,679061.044896,7642575.33562,W,na,na,na,na,2016-09-28 18:00:00,2016-09-28 19:50:00,na,na,na,na,na,na,na,na
5,AB,ART 399,7,679061.044896,7642575.33562,R,na,na,na,na,na,na,2016-09-29 08:30:00,2016-09-29 12:20:00,na,na,na,na,na,na
6,AB,ARH 407,6,679061.044896,7642575.33562,F,na,na,na,na,na,na,na,na,2016-09-30 10:00:00,2016-09-30 12:50:00,na,na,na,na
7,AB,ARH 507,0,679061.044896,7642575.33562,F,na,na,na,na,na,na,na,na,2016-09-30 10:00:00,2016-09-30 12:50:00,na,na,na,na
8,AB,ART 118,25,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
9,AB,ART 320,21,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
10,AB,ART 118,22,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 20:50:00,na,na,2016-09-28 18:00:00,2016-09-28 20:50:00,na,na,na,na,na,na,na,na
11,AB,ART 320,19,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
12,AB,ART 118,24,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
13,AB,ART 320,21,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
14,AB,ART 210,18,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
15,AB,ART 200,23,679061.044896,7642575.33562,MW,2016-09-26 12:00:00,2016-09-26 14:50:00,na,na,2016-09-28 12:00:00,2016-09-28 14:50:00,na,na,na,na,na,na,na,na
16,AB,ART 341,18,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 20:50:00,na,na,2016-09-28 18:00:00,2016-09-28 20:50:00,na,na,na,na,na,na,na,na
17,AB,ART 341,21,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
18,AB,ART 341,21,679061.044896,7642575.33562,TR,na,na,2016-09-27 15:00:00,2016-09-27 17:50:00,na,na,2016-09-29 15:00:00,2016-09-29 17:50:00,na,na,na,na,na,na
19,AB,ART 472,15,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
20,AB,ART 254,20,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
21,AB,ART 254,19,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
22,AB,ART 470,17,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
23,AB,ART 471,11,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
24,AB,ART 399,7,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
25,AB,ART 224,15,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
26,AB,ART 224,19,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 20:50:00,na,na,2016-09-28 18:00:00,2016-09-28 20:50:00,na,na,na,na,na,na,na,na
27,AB,ART 111,17,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
28,AB,ART 224,19,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
