,Building,Class,Actual_Enrl,Day_M
138,AB,ART 227,8,2016-09-26 09:00:00
139,AB,ART 581,2,2016-09-26 13:00:00
144,AB,ART 118,25,2016-09-26 09:00:00
145,AB,ART 320,21,2016-09-26 14:00:00
146,AB,ART 118,22,2016-09-26 18:00:00
150,AB,ART 210,18,2016-09-26 09:00:00
151,AB,ART 200,23,2016-09-26 12:00:00
152,AB,ART 341,18,2016-09-26 18:00:00
155,AB,ART 472,15,2016-09-26 09:00:00
156,AB,ART 254,20,2016-09-26 14:00:00
160,AB,ART 399,7,2016-09-26 09:00:00
161,AB,ART 224,15,2016-09-26 14:00:00
162,AB,ART 224,19,2016-09-26 18:00:00
166,AB,ARH 361U,40,2016-09-26 13:00:00
167,AB,ARH 491,27,2016-09-26 15:00:00
168,AB,ARH 591,3,2016-09-26 15:00:00
169,AB,ARH 290,54,2016-09-26 18:00:00
175,AB,ART 312,16,2016-09-26 09:00:00
178,AB,ART 182,20,2016-09-26 09:00:00
183,AB,ART 203,10,2016-09-26 09:00:00
184,AB,ART 299,6,2016-09-26 14:00:00
185,AB,ART 399,10,2016-09-26 14:00:00
187,AB,ART 115,25,2016-09-26 09:00:00
188,AB,ART 115,25,2016-09-26 14:00:00
189,AB,ART 115,24,2016-09-26 18:40:00
193,AB,ART 131,20,2016-09-26 09:00:00
195,AB,ART 354,21,2016-09-26 09:00:00
196,AB,ART 333,16,2016-09-26 12:00:00
197,AB,ART 354,17,2016-09-26 18:00:00
205,ASRC,EC 201,205,2016-09-26 10:00:00
206,ASRC,ME 452,25,2016-09-26 12:00:00
207,ASRC,ME 552,8,2016-09-26 12:00:00
208,ASRC,ME 321,153,2016-09-26 14:00:00
209,ASRC,ME 420,24,2016-09-26 16:40:00
210,ASRC,ME 520,11,2016-09-26 16:40:00
211,ASRC,CS 469,55,2016-09-26 18:40:00
219,ASRC,EC 321U,36,2016-09-26 10:00:00
220,ASRC,EC 332U,32,2016-09-26 12:00:00
221,ASRC,MTH 251,38,2016-09-26 14:00:00
222,ASRC,PHE 466,39,2016-09-26 15:15:00
223,ASRC,PHE 566,2,2016-09-26 15:15:00
224,ASRC,ETM 520,27,2016-09-26 17:30:00
225,ASRC,ETM 620,1,2016-09-26 17:30:00
245,ASRC,CS 333,57,2016-09-26 08:15:00
246,ASRC,SW 539,23,2016-09-26 13:00:00
247,ASRC,PS 380U,17,2016-09-26 16:40:00
263,ASRC,EC 442,42,2016-09-26 10:00:00
264,ASRC,EC 542,2,2016-09-26 10:00:00
265,ASRC,BI 357,57,2016-09-26 12:45:00
266,ASRC,PHL 310U,95,2016-09-26 14:00:00
267,ASRC,ISQA 410,26,2016-09-26 17:30:00
268,ASRC,ISQA 510S,0,2016-09-26 17:30:00
